Date,Open,High,Low,Close,Adj Close,Volume,Increase/Decrease,,Buy_Sell_on_Open,,Buy_Sell,Return
7/27/2010,1.394,1.412,1.350667,1.37,1.37,9295500,0.017217,0.045409,0,0,1,-0.019093
7/28/2010,1.37,1.393333,1.367333,1.381333,1.381333,7008000,-0.008272,0.019015,1,1,0,0.008272
7/29/2010,1.384667,1.392,1.333333,1.356667,1.356667,9240000,0.020221,0.044,0,0,0,-0.017857
7/30/2010,1.346667,1.362667,1.303333,1.329333,1.329333,6403500,0.012872,0.045525,1,1,1,-0.020148
8/2/2010,1.366667,1.398,1.355333,1.394667,1.394667,10771500,-0.020488,0.031481,1,1,1,0.049148
8/3/2010,1.4,1.463333,1.388,1.463333,1.463333,18457500,-0.045238,0.054274,0,1,0,0.049235
8/4/2010,1.463333,1.478667,1.39,1.417333,1.417333,13695000,0.031435,0.063789,0,0,0,-0.031435
8/5/2010,1.436,1.436667,1.336667,1.363333,1.363333,11943000,0.050604,0.074813,0,0,0,-0.0381
8/6/2010,1.34,1.344,1.301333,1.306,1.306,11128500,0.025373,0.032787,1,0,1,-0.042054
8/9/2010,1.326667,1.332,1.296667,1.306667,1.306667,12190500,0.015075,0.027249,1,0,0,0.000511
8/10/2010,1.31,1.31,1.254667,1.268667,1.268667,19219500,0.031552,0.044102,0,0,0,-0.029082
8/11/2010,1.246,1.258667,1.19,1.193333,1.193333,11964000,0.042269,0.057703,0,0,0,-0.05938
8/12/2010,1.186667,1.193333,1.159333,1.173333,1.173333,10365000,0.011236,0.029327,0,1,1,-0.01676
8/13/2010,1.212,1.23,1.177333,1.221333,1.221333,9510000,-0.007701,0.044734,0,1,1,0.040909
8/16/2010,1.23,1.253333,1.217333,1.252,1.252,7287000,-0.017886,0.029573,0,1,1,0.025109
8/17/2010,1.264,1.293333,1.252,1.276667,1.276667,6718500,-0.010021,0.033014,1,1,0,0.019702
8/18/2010,1.306,1.306,1.24,1.251333,1.251333,9019500,0.041858,0.053226,0,0,1,-0.019844
8/19/2010,1.236,1.283333,1.222,1.252667,1.252667,8686500,-0.013485,0.050191,0,1,1,0.001066
8/20/2010,1.243333,1.274,1.234,1.273333,1.273333,4440000,-0.024129,0.032415,1,1,1,0.016498
8/23/2010,1.272667,1.359333,1.266667,1.342,1.342,16321500,-0.054478,0.073157,0,1,0,0.053927
8/24/2010,1.283333,1.314,1.263333,1.28,1.28,10096500,0.002597,0.040106,0,0,1,-0.0462
8/25/2010,1.277333,1.332,1.237333,1.326667,1.326667,7549500,-0.038623,0.076509,0,1,0,0.036459
8/26/2010,1.326,1.351333,1.306667,1.316667,1.316667,6507000,0.007038,0.034183,0,0,0,-0.007538
8/27/2010,1.316667,1.324667,1.3,1.313333,1.313333,5694000,0.002532,0.018975,1,0,1,-0.002532
8/30/2010,1.313333,1.346,1.307333,1.324667,1.324667,10992000,-0.00863,0.029577,0,0,0,0.00863
8/31/2010,1.310667,1.319333,1.288667,1.298667,1.298667,3016500,0.009156,0.023797,1,0,1,-0.019628
9/1/2010,1.308,1.379333,1.306667,1.363333,1.363333,7423500,-0.042304,0.055612,0,1,1,0.049794
9/2/2010,1.358,1.416,1.354,1.404,1.404,7306500,-0.033873,0.04579,0,1,0,0.029829
9/3/2010,1.391333,1.42,1.377333,1.403333,1.403333,6519000,-0.008625,0.030978,0,0,0,-0.000475
9/7/2010,1.374,1.4,1.366667,1.369333,1.369333,3651000,0.003397,0.02439,1,1,1,-0.024228
9/8/2010,1.377333,1.396667,1.373333,1.393333,1.393333,4326000,-0.011617,0.016991,1,1,0,0.017527
9/9/2010,1.4,1.403333,1.379333,1.380667,1.380667,5643000,0.013809,0.0174,1,0,0,-0.00909
9/10/2010,1.383333,1.395333,1.317333,1.344667,1.344667,5799000,0.027951,0.059211,0,1,1,-0.026074
9/13/2010,1.392667,1.393333,1.366667,1.381333,1.381333,5412000,0.008138,0.019512,1,0,1,0.027268
9/14/2010,1.369333,1.44,1.368667,1.408,1.408,9820500,-0.028238,0.052119,1,1,1,0.019305
9/15/2010,1.398667,1.466667,1.386,1.465333,1.465333,10269000,-0.047664,0.058201,1,1,0,0.040719
9/16/2010,1.476667,1.544,1.389333,1.396,1.396,40267500,0.054628,0.111325,0,0,0,-0.047315
9/17/2010,1.401333,1.421333,1.32,1.348667,1.348667,17977500,0.037583,0.076767,0,0,1,-0.033906
9/20/2010,1.378,1.423333,1.344,1.404,1.404,14212500,-0.018868,0.059028,0,1,0,0.041028
9/21/2010,1.392667,1.436667,1.378,1.384667,1.384667,11940000,0.005744,0.042574,1,0,0,-0.01377
9/22/2010,1.391333,1.396667,1.32,1.324667,1.324667,14443500,0.047915,0.058081,0,0,0,-0.043332
9/23/2010,1.326,1.342667,1.3,1.304,1.304,10021500,0.016591,0.032821,0,1,1,-0.015602
9/24/2010,1.33,1.346,1.31,1.34,1.34,8683500,-0.007519,0.027481,0,1,1,0.027607
9/27/2010,1.36,1.387333,1.336667,1.368667,1.368667,6279000,-0.006373,0.037905,1,1,1,0.021393
9/28/2010,1.402667,1.432667,1.384,1.426667,1.426667,18217500,-0.01711,0.035164,1,1,1,0.042377
9/29/2010,1.412667,1.468667,1.408667,1.465333,1.465333,29539500,-0.037281,0.042594,1,1,0,0.027102
9/30/2010,1.466667,1.476667,1.346,1.360667,1.360667,32937000,0.072273,0.097078,0,0,1,-0.071428
